product_id/id,location_id/.id,inventory_quantity
shopline.prod_hp_studio,5,60
shopline.prod_hp_anc,5,45
shopline.prod_earbuds,5,180
shopline.prod_speaker,5,120
shopline.prod_soundbar,5,30
shopline.prod_turntable,5,24
shopline.prod_laptop_14,5,55
shopline.prod_laptop_16,5,20
shopline.prod_desktop_mini,5,26
shopline.prod_monitor_27,5,48
shopline.prod_keyboard,5,90
shopline.prod_mouse,5,140
shopline.prod_phone_a,5,75
shopline.prod_phone_pro,5,40
shopline.prod_tablet_11,5,85
shopline.prod_tablet_mini,5,50
shopline.prod_charger,5,220
shopline.prod_lamp,5,95
shopline.prod_purifier,5,35
shopline.prod_grinder,5,42
shopline.prod_blanket,5,70
shopline.prod_sleeve,5,130
shopline.prod_cable,5,300
shopline.prod_powerbank,5,110
shopline.prod_webcam,5,65
shopline.prod_stand,5,88
