id,name,default_code,type,is_storable,categ_id,public_categ_ids,is_published,list_price,standard_price,sale_ok,purchase_ok,invoice_policy,weight,description_sale
shopline.prod_hp_studio,Studio Over-Ear Headphones,SL-AUD-001,consu,True,Audio,Audio,True,249.00,128.00,True,True,order,0.32,"Closed-back studio headphones with 40mm drivers and a detachable braided cable."
shopline.prod_hp_anc,Noise-Cancelling Headphones ANC,SL-AUD-002,consu,True,Audio,Audio,True,329.00,171.00,True,True,order,0.28,"Active noise cancelling, 30-hour battery and multipoint Bluetooth."
shopline.prod_earbuds,Wireless Earbuds Air,SL-AUD-003,consu,True,Audio,Audio,True,129.00,58.00,True,True,order,0.06,"True-wireless earbuds with a pocket charging case and USB-C."
shopline.prod_speaker,Portable Speaker Boom 2,SL-AUD-004,consu,True,Audio,Audio,True,89.00,39.00,True,True,order,0.55,"Splash-resistant portable speaker with 12 hours of playback."
shopline.prod_soundbar,Soundbar 2.1 with Subwoofer,SL-AUD-005,consu,True,Audio,Audio,True,399.00,214.00,True,True,order,4.20,"Two-channel soundbar and wireless subwoofer with HDMI eARC."
shopline.prod_turntable,Belt-Drive Turntable Classic,SL-AUD-006,consu,True,Audio,Audio,True,279.00,149.00,True,True,order,3.80,"Belt-driven turntable with a pre-mounted cartridge and built-in preamp."
shopline.prod_laptop_14,Notebook Pro 14,SL-COM-001,consu,True,Computers,Computers,True,1499.00,1115.00,True,True,order,1.55,"14-inch notebook, 16 GB memory and a 512 GB NVMe drive."
shopline.prod_laptop_16,Notebook Pro 16,SL-COM-002,consu,True,Computers,Computers,True,2199.00,1680.00,True,True,order,2.15,"16-inch notebook, 32 GB memory and a 1 TB NVMe drive."
shopline.prod_desktop_mini,Desktop Mini Cube,SL-COM-003,consu,True,Computers,Computers,True,899.00,624.00,True,True,order,1.20,"Compact desktop with 16 GB memory, dual display output and Wi-Fi 6E."
shopline.prod_monitor_27,Monitor 27in 4K IPS,SL-COM-004,consu,True,Computers,Computers,True,549.00,352.00,True,True,order,6.40,"27-inch 4K IPS panel with USB-C power delivery and a height-adjustable stand."
shopline.prod_keyboard,Mechanical Keyboard TKL,SL-COM-005,consu,True,Computers,Computers,True,149.00,71.00,True,True,order,0.85,"Tenkeyless mechanical keyboard with hot-swappable switches."
shopline.prod_mouse,Wireless Mouse Precision,SL-COM-006,consu,True,Computers,Computers,True,79.00,33.00,True,True,order,0.11,"Low-latency wireless mouse with an 8000 DPI sensor."
shopline.prod_phone_a,Smartphone Aria,SL-PHO-001,consu,True,Phones & Tablets,Phones & Tablets,True,699.00,498.00,True,True,order,0.19,"6.1-inch OLED smartphone with a dual camera and 128 GB storage."
shopline.prod_phone_pro,Smartphone Aria Pro,SL-PHO-002,consu,True,Phones & Tablets,Phones & Tablets,True,1099.00,812.00,True,True,order,0.22,"6.7-inch OLED smartphone with a triple camera and 256 GB storage."
shopline.prod_tablet_11,Tablet Slate 11,SL-PHO-003,consu,True,Phones & Tablets,Phones & Tablets,True,649.00,447.00,True,True,order,0.48,"11-inch tablet with a laminated display and stylus support."
shopline.prod_tablet_mini,Tablet Slate Mini,SL-PHO-004,consu,True,Phones & Tablets,Phones & Tablets,True,449.00,301.00,True,True,order,0.29,"8.3-inch compact tablet with Wi-Fi 6 and 64 GB storage."
shopline.prod_charger,65W USB-C Charger,SL-PHO-005,consu,True,Phones & Tablets,Phones & Tablets,True,49.00,18.00,True,True,order,0.14,"Compact 65W GaN charger with two USB-C ports."
shopline.prod_lamp,Desk Lamp Halo LED,SL-HOM-001,consu,True,Home & Living,Home & Living,True,89.00,36.00,True,True,order,1.10,"Dimmable LED desk lamp with adjustable colour temperature."
shopline.prod_purifier,Air Purifier Breeze 300,SL-HOM-002,consu,True,Home & Living,Home & Living,True,279.00,158.00,True,True,order,5.60,"HEPA air purifier rated for rooms up to 40 square metres."
shopline.prod_grinder,Coffee Grinder Burr One,SL-HOM-003,consu,True,Home & Living,Home & Living,True,169.00,84.00,True,True,order,2.30,"Conical burr grinder with 30 grind settings."
shopline.prod_blanket,Wool Throw Blanket,SL-HOM-004,consu,True,Home & Living,Home & Living,True,119.00,47.00,True,True,order,1.40,"Lambswool throw, 130 by 180 centimetres."
shopline.prod_sleeve,Laptop Sleeve 14in,SL-ACC-001,consu,True,Accessories,Accessories,True,39.00,14.00,True,True,order,0.24,"Felt and leather laptop sleeve with a magnetic closure."
shopline.prod_cable,USB-C Braided Cable 2m,SL-ACC-002,consu,True,Accessories,Accessories,True,19.00,5.50,True,True,order,0.09,"Two-metre braided USB-C cable rated for 100W charging."
shopline.prod_powerbank,Power Bank 20000mAh,SL-ACC-003,consu,True,Accessories,Accessories,True,69.00,28.00,True,True,order,0.42,"20000 mAh power bank with 45W USB-C output and a display."
shopline.prod_webcam,Webcam Clarity 4K,SL-ACC-004,consu,True,Accessories,Accessories,True,129.00,62.00,True,True,order,0.16,"4K webcam with autofocus and a dual noise-cancelling microphone."
shopline.prod_stand,Aluminium Laptop Stand,SL-ACC-005,consu,True,Accessories,Accessories,True,59.00,21.00,True,True,order,0.95,"Adjustable aluminium laptop stand with a silicone grip."
shopline.prod_setup_service,Device Setup & Data Transfer,SL-SRV-001,service,False,Accessories,Accessories,True,79.00,0.00,True,False,order,0.00,"In-store or remote device setup, including data transfer from an old device."
shopline.prod_ext_warranty,Extended Warranty 24 Months,SL-SRV-002,service,False,Accessories,Accessories,True,99.00,0.00,True,False,order,0.00,"Two additional years of hardware cover from the date of purchase."
